00001,Rearick Tooling Inc/JIT,5,287 ,3D打印,机电装配,产品制造,加工,钣金,锻压加工,,,,,,,,,,,,,,,,,,,,
00003,Access Precision 加工 Ltd.,4,306 ,3D打印,机电装配,制造加工,加工,钣金,,,,,,,,,,,,,,,,,,,,,
00005,TR Manufacturing,1,67 ,3D打印,制造加工,加工,锻压加工,,,,,,,,,,,,,,,,,,,,,,
00006,ShenZhen City infinity Precision Manufactur CO.LTD,5,654 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,工具及模具制造,管道改造,配线服务,木料工艺
00008,"RSP, Inc",5,65 ,3D打印,吹塑制造,压塑制造,机电装配,工程与设计服务,冲压制造,制造加工,注塑成型,加工,电路板印刷服务,滚塑成型,钣金,锻压加工,热力塑型,工具及模具制造,配线服务,,,,,,,,,,
00010,Portable Factory,5,229 ,3D打印,压塑制造,工程与设计服务,制造加工,注塑成型,加工,钣金,结构泡沫成型,热力塑型,工具及模具制造,,,,,,,,,,,,,,,,
00012,"Plus minus three Industrial Co., Ltd.",5,610 ,3D打印,吹塑制造,铸造,工程与设计服务,冲压制造,制造加工,加工,钣金,锻压加工,工具及模具制造,配线服务,,,,,,,,,,,,,,,
00018,"Ningbo Winbang 电镀nics Co.,Ltd",1,997 ,3D打印,压塑制造,铸造,机电装配,制造加工,注塑成型,精密铸造,加工,滚塑成型,RTV成型,砂模铸造,锻压加工,结构泡沫成型,配线服务,,,,,,,,,,,,
00021,"First Industrial Co., Ltd.",5,937 ,3D打印,吹塑制造,压塑制造,铸造,工程与设计服务,冲压制造,制造加工,齿轮制造,注塑成型,精密铸造,加工,滚塑成型,RTV成型,砂模铸造,钣金,锻压加工,结构泡沫成型,热力塑型,,,,,,,,
00025,"Ningbo Bojie Jingzhu Machine Co.,Ltd.",5,142 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,管道改造,配线服务,木料工艺,
00027,MFI Global Manufacturing Inc.,1,469 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,管道改造,配线服务,木料工艺,,
00028,ATW 装备,3,414 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,滚塑成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,热力塑型,工具及模具制造,管道改造,配线服务,,,,,
00029,Diode 加工 Technology China Limited,2,397 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,管道改造,配线服务,木料工艺,
00031,WY Metals ,2,944 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,管道改造,配线服务,木料工艺,
00033,"Shanxi Fuding International Trade Co., Ltd.",3,998 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,工具及模具制造,管道改造,配线服务,木料工艺
00042,"Product Development Experts, Inc.",2,139 ,3D打印,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,管道改造,配线服务,木料工艺,,,,,,
00043,AMT,1,564 ,3D打印,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,砂模铸造,钣金,锻压加工,,,,,,,,,,,,
00045,"Ningbo Yaoyuan Precision Machinery Co.,Ltd.",4,393 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,工具及模具制造,配线服务,木料工艺,
00059,NINGBO WIDEN ENTERPRISES LTD,2,92 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,工程与设计服务,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,热力塑型,工具及模具制造,管道改造,配线服务,木料工艺
00062,"Dongguan Yong Chang Xing Plastic & 五金 电镀nics Co., Ltd",2,817 ,3D打印,吹塑制造,压塑制造,铸造,机电装配,冲压制造,制造加工,锻造,齿轮制造,注塑成型,精密铸造,加工,电路板印刷服务,滚塑成型,RTV成型,砂模铸造,钣金,弹簧及线材成型,锻压加工,结构泡沫成型,管道改造,配线服务,木料工艺,,,
00067,Holtwood Machine,1,28 ,3D打印,工程与设计服务,制造加工,齿轮制造,加工,,,,,,,,,,,,,,,,,,,,,
00068,"ProFab, Inc.",3,786 ,3D打印,工程与设计服务,制造加工,加工,钣金,,,,,,,,,,,,,,,,,,,,,
